CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
14293,,Abrasive Garnet 80 Mesh,,,,,,,
11388,,SKIRT RING TO DRG NO FS-517 A,,,,,,,
10738,,Cloth,,,,,,,
13927,,HIRING OF MANPOWER SERVICE,,,,,,,
14406,,Circular Hot Saw Blades,,,,,,,
5406,,COMPUTER & ACCESSORIES,,,,,,,
10314,,Pipe Fittings,,,,,,,
15068,,CU.WIRE 22SWG(0.685MM DIA),,,,,,,
9311,,ELECTRONIC DRIVE,,,,,,,
10866,,Pipe Fittings,,,,,,,
14800,,Dry Lubricant Powder,,,,,,,
15068,,PAINT READY MIXED -TURQUISH BLUE.,,,,,,,
12928,,Steel Plates and fittings,,,,,,,
13462,,Pipe Fittings,,,,,,,
14857,,High Purity Flourspar,,,,,,,
13616,,Pipe Fittings,,,,,,,
9340,,COPPER BAND PROTECTOR FOR 155MM ERF,,,,,,,
9340,,COPPER DRIVING BAND PROTECTOR,,,,,,,
8449,,SPARES FOR DIESEL ENGINE/D.G.SETS,,,,,,,
14061,,CIVIL SUPPLIES,,,,,,,
15032,,Sil Plate Mass,,,,,,,
2401,,CONVERSION OF SEMI FINISHED SHELLS,,,,,,,
15131,,High Purity Flourspar,,,,,,,
3256,,PUMPS,,,,,,,
15689,,Immersion Sampler,,,,,,,
158,,COPPER CATHOD,,,,,,,
4003,,SHUTTER SPRING TO CQA(A) DRG.QX-344,,,,,,,
2006,,Zirconia Toughened Alumina Tiles,,,,,,,
4003,,STRIKER SPRING TO CQA DRG. QX-341,,,,,,,
4003,,DETENT SPRING TO CQA.DRG. QX-348,,,,,,,
3471,,FIRE DETECTION SYSTEM,,,,,,,
2136,,Machining of Low Alloy Tubes,,,,,,,
7043,,TRAVEL SERVICES,,,,,,,
196,,COPPER CATHOD,,,,,,,
12946,,CNC Machining,,,,,,,
10347,,CASTING NON FERROUS,,,,,,,
13016,,GRAPHITE ELECTRODE,,,,,,,
15545,,PAINTING WORKS,,,,,,,
4003,,ROTOR SPRING DRG. DET-14,,,,,,,
4650,,TROLLEY-HAND/PLATFORM/WHEEL BARROW,,,,,,,
12996,,Grinding and Polishing,,,,,,,
15545,,BLASTING AND CHIPPING WORKS,,,,,,,
14152,,SPRING PLATFORM 30 ROUNDS,,,,,,,
13905,,CONTROL PANELS,,,,,,,
2977,,COLD ROLLEDD TIN ANODE.,,,,,,,
13555,,Spares for Water Jet Cutting Machine,,,,,,,
1142,,POLYTHENE BAGS,,,,,,,
5653,,"MECAHNICAL SELAS FOR PUMPS, COMPRESSORS",,,,,,,
13288,,SHOP TOOL DRG MT 59,,,,,,,
13545,,HIRING OF DG SET,,,,,,,
1137,,CNC PLASMA PLATE & PROFILE CUTTING.,,,,,,,
12863,,STACK MONITORING,,,,,,,
15198,,STEEL FABRICATION WORKS,,,,,,,
10038,,FIBRE GLASS REINFORCED POLYSTERENE,,,,,,,
1731,,TRANSIT PLUG,,,,,,,
15358,,FORKLIFT SPARES,,,,,,,
10038,,SET OF COMPONENTS FOR 40 MM AMMN,,,,,,,
10038,,SET OF INJECTION MOULDS,,,,,,,
3864,,BIMETALIC BAND SAW BLADE,,,,,,,
11,,VALVES & FITTINGS,,,,,,,
6487,,PISTON PUMP,,,,,,,
9340,,SET OF INJECTION MOULDS,,,,,,,
9346,,BULLET RESISTANT HELMET,,,,,,,
2032,,REFRACTORIES,,,,,,,
1918,,RUBBER PRODUCTS,,,,,,,
9340,,DOUBLE CAVITY INJECTION MOULD,,,,,,,
2042,,REFRACTORY BRICKS,,,,,,,
13923,,PRINTERS,,,,,,,
12924,,X RAY FILM PROCESSOR,,,,,,,
3029,,HIGH AL.REFRACTORY CEMENT,,,,,,,
2443,,Nickel Niobium Master Alloy,,,,,,,
11388,,NYLON CORD,,,,,,,
1388,,QUICK LIME,,,,,,,
15183,,AIR COMPRESSORS,,,,,,,
15183,,AIR RECEIVERS,,,,,,,
14487,,CO2 GAS,,,,,,,
11388,,HDPE TYPE-I,,,,,,,
2443,,ALUMINIUM VANADIUM MASTER ALLOY (65:35),,,,,,,
23,,Appliances,,,,,,,
2368,,ALUMINIUM ROD 14 MM,,,,,,,
2787,,PURE ALUMINUM WIRE,,,,,,,
